id,lat,lon,user,uid,version,changeset,timestamp
219966,43.0114928,-87.9159612,whammypower788,108601,5,242067,2009-04-04T22:47:50Z
699032,43.1275036,-87.913351,whammypower788,108601,2,517569,2009-04-14T00:14:11Z
699496,43.0796051,-87.920664,whammypower788,108601,9,3765046,2010-02-01T04:58:18Z
699636,43.0383131,-87.9248734,ItalianMustache,1743198,6,38049194,2016-03-24T20:25:11Z
699659,42.999885,-87.9158835,whammypower788,108601,5,242067,2009-04-04T22:47:49Z
703022,43.1995034,-87.9227346,Ivan Komarov,69864,4,10086701,2011-12-11T05:17:50Z
19773289,43.0339729,-87.909744,shuui,1952296,6,38012515,2016-03-23T04:03:11Z
19774185,43.0101305,-87.9055749,iandees,4732,4,11231082,2012-04-08T21:33:34Z
19774215,43.0241484,-87.9046049,ItalianMustache,1743198,5,37656415,2016-03-07T00:34:28Z
19774296,43.0167606,-87.9014699,Mulad,502142,5,34031535,2015-09-14T23:54:44Z
19775934,43.0014141,-87.8868046,iandees,4732,2,11231082,2012-04-08T21:33:43Z
19775991,43.0144331,-87.8912007,Mulad,502142,2,34031535,2015-09-14T23:54:44Z
19776061,43.0310397,-87.8939703,shuui,1952296,2,37536387,2016-03-01T07:08:16Z
19776081,43.0366875,-87.89562,shuui,1952296,4,37536387,2016-03-01T07:08:16Z
19776107,43.0434266,-87.887531,shuui,1952296,2,37647781,2016-03-06T16:01:08Z
19776146,43.0529053,-87.887127,shuui,1952296,2,37678569,2016-03-08T04:05:10Z
19776173,43.0454879,-87.8805535,shuui,1952296,2,37678569,2016-03-08T04:05:11Z
19776206,43.0541208,-87.8800495,shuui,1952296,2,37750440,2016-03-11T02:20:46Z
19776242,43.0683485,-87.8664634,OSMF Redaction Account,722137,4,12297901,2012-07-18T20:48:43Z
19780489,42.9531434,-87.8445621,Hawke,979,1,189529,2007-08-04T19:53:00Z
19780509,42.9646497,-87.846745,Hawke,979,1,189529,2007-08-04T19:52:57Z
19780537,42.9743444,-87.8539396,Hawke,979,1,189529,2007-08-04T19:53:05Z
19780571,42.9826051,-87.8626784,iandees,4732,2,11231082,2012-04-08T21:33:46Z
19780601,42.9893535,-87.8732374,iandees,4732,2,11231082,2012-04-08T21:33:50Z
19780631,42.9960824,-87.8820759,iandees,4732,2,11231082,2012-04-08T21:33:55Z
19780662,42.994871,-87.8761064,Hawke,979,1,189529,2007-08-04T20:11:12Z
19780685,42.9902607,-87.868452,Hawke,979,1,189529,2007-08-04T20:11:15Z
19780723,42.9830974,-87.855539,Hawke,979,1,189529,2007-08-04T20:17:28Z
19780753,42.9859214,-87.8603293,Hawke,979,1,189529,2007-08-04T20:12:00Z
19780779,42.9909694,-87.8694595,Hawke,979,1,189529,2007-08-04T20:11:51Z
19780806,42.9983998,-87.8803275,Hawke,979,1,189529,2007-08-04T20:12:02Z
21613523,43.0336957,-87.8947638,shuui,1952296,3,37536387,2016-03-01T07:08:16Z
32191760,43.0839864,-87.9204145,whammypower788,108601,5,517569,2009-04-14T00:13:52Z
32191785,43.1167181,-87.9188548,iandees,4732,14,5576662,2010-08-24T03:06:16Z
32191807,43.0872964,-87.9218433,whammypower788,108601,12,480748,2009-04-13T17:01:48Z
32191836,43.0490177,-87.9262587,Skybunny,1751737,19,33087797,2015-08-04T05:38:50Z
32192056,43.0185326,-87.9169313,Skybunny,1751737,10,32684693,2015-07-16T20:52:55Z
32192078,42.9767615,-87.9158417,Gary Cox,383843,5,7291216,2011-02-15T00:53:25Z
32194724,43.0354003,-87.9450059,whammypower788,108601,14,3889365,2010-02-16T04:44:23Z
32203798,43.0272118,-88.0171394,mpeterson3,2205028,15,48635277,2017-05-12T20:58:39Z
33503414,42.9604846,-87.8448275,Hawke,979,1,189529,2007-08-04T19:52:17Z
33509717,43.0536568,-87.8810195,shuui,1952296,3,37750440,2016-03-11T02:20:47Z
33510884,42.9407611,-87.8872662,bbauter,156587,2,4282213,2010-03-31T03:13:23Z
33513225,42.9527772,-87.9051717,Hawke,979,1,189529,2007-08-04T22:03:59Z
33516351,42.9562199,-87.8953658,effektz,3983283,2,39511918,2016-05-23T15:05:58Z
33518280,42.9427851,-87.9121009,Hawke,979,1,189529,2007-08-04T22:36:50Z
33521906,42.9307288,-87.9015959,Hawke,979,1,189529,2007-08-04T23:07:52Z
33522126,42.9521849,-87.9047568,Hawke,979,1,189529,2007-08-04T23:08:44Z
35338658,42.9595177,-87.9341216,ChrisBessert,1346422,5,30172495,2015-04-12T21:58:00Z
153716540,42.9094596,-88.0770319,davidearl,3582,2,196981,2008-12-06T19:29:12Z
196490286,43.0261461,-88.0341707,Zoo Interchange,4439335,3,41641838,2016-08-23T16:12:50Z
196618897,42.9502763,-87.9426882,whammypower788,108601,3,3949518,2010-02-23T05:14:19Z
196618942,42.9083431,-88.0516026,dewline8486,1747062,3,18054363,2013-09-27T00:23:47Z
196619012,43.1658722,-88.030881,adbrown,54598,3,7610073,2011-03-19T22:06:35Z
196619054,43.0763203,-87.9169267,iandees,4732,5,16577284,2013-06-16T15:13:04Z
196619101,43.0660775,-87.8780887,iandees,4732,5,14591717,2013-01-09T21:43:22Z
196619140,42.977463,-88.0437543,NickConnolly,1480053,6,22011982,2014-04-28T22:23:59Z
196619180,42.9914248,-88.0421881,Gary Cox,383843,3,8538836,2011-06-25T04:15:27Z
196619228,43.0378189,-87.9014087,shuui,1952296,9,41122126,2016-07-30T06:26:44Z
196619302,43.0305621,-88.048764,woodpeck_fixbot,147510,3,2151937,2009-08-15T11:07:04Z
196619425,43.1587439,-87.9188391,ItalianMustache,1743198,6,38074516,2016-03-25T23:23:27Z
196619506,42.9813706,-88.0496467,Gary Cox,383843,3,7037618,2011-01-21T07:44:55Z
196619557,43.1818367,-88.0044987,LocalTrailgeek,336222,7,36089981,2015-12-21T16:41:30Z
196619647,42.9241529,-88.0114177,whammypower788,108601,3,4014225,2010-03-02T04:24:18Z
196619724,42.9528412,-87.9792742,noliver,91568,3,18220745,2013-10-06T21:27:39Z
196619770,42.9622317,-88.0114383,Tom Layo,280679,5,8862094,2011-07-29T11:39:34Z
