id,key,value,type
19774185,source,PGS,regular
19774215,source,PGS,regular
19774296,source,PGS,regular
19775934,source,PGS,regular
19780489,created_by,r_coastlines,regular
19780489,source,PGS,regular
19780509,created_by,r_coastlines,regular
19780509,source,PGS,regular
19780537,created_by,r_coastlines,regular
19780537,source,PGS,regular
19780571,source,PGS,regular
19780601,source,PGS,regular
19780631,source,PGS,regular
19780662,created_by,r_coastlines,regular
19780662,source,PGS,regular
19780685,created_by,r_coastlines,regular
19780685,source,PGS,regular
19780723,created_by,r_coastlines,regular
19780723,source,PGS,regular
19780753,created_by,r_coastlines,regular
19780753,source,PGS,regular
19780779,created_by,r_coastlines,regular
19780779,source,PGS,regular
19780806,created_by,r_coastlines,regular
19780806,source,PGS,regular
32191836,highway,motorway_junction,regular
32191836,ref,72E,regular
32192056,highway,motorway_junction,regular
32192056,ref,312A,regular
33503414,created_by,JOSM,regular
33513225,created_by,JOSM,regular
33518280,created_by,JOSM,regular
33521906,created_by,JOSM,regular
33522126,created_by,JOSM,regular
153716540,ele,236,regular
153716540,gnis:Class,Populated Place,regular
153716540,gnis:County,Waukesha,regular
153716540,gnis:County_num,133,regular
153716540,gnis:ST_alpha,WI,regular
153716540,gnis:ST_num,55,regular
153716540,id,1850375,gnis
153716540,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153716540,is_in,"Waukesha,Wisconsin,Wis.,WI,USA",regular
153716540,name,Lake Brittany Estates,regular
153716540,place,hamlet,regular
196619228,crossing,traffic_signals,regular
196619228,highway,traffic_signals,regular
196619557,highway,motorway_junction,regular
196619954,highway,traffic_signals,regular
196620663,highway,traffic_signals,regular
196620876,highway,traffic_signals,regular
196621261,crossing,traffic_signals,regular
196621261,highway,traffic_signals,regular
196621601,highway,motorway_junction,regular
196621601,ref,43,regular
196622282,highway,traffic_signals,regular
196624068,highway,traffic_signals,regular
196624283,highway,traffic_signals,regular
196624580,direction,all,regular
196624580,highway,stop,regular
196625046,crossing,traffic_signals,regular
196625046,highway,traffic_signals,regular
196625619,highway,traffic_signals,regular
196626284,highway,traffic_signals,regular
196628722,highway,stop,regular
196630145,highway,traffic_signals,regular
196630145,traffic_signals,signal,regular
196633581,highway,turning_circle,regular
196634728,railway,level_crossing,regular
196636640,highway,traffic_signals,regular
196638910,highway,traffic_signals,regular
196640062,highway,turning_circle,regular
196640380,highway,traffic_signals,regular
196642754,highway,turning_circle,regular
196643128,highway,turning_circle,regular
196643677,highway,turning_circle,regular
196646438,highway,turning_circle,regular
196646828,highway,turning_circle,regular
196647729,highway,turning_circle,regular
196648592,highway,turning_circle,regular
196650883,highway,turning_circle,regular
196654195,highway,turning_circle,regular
196655132,highway,turning_circle,regular
196657340,highway,turning_circle,regular
196657459,highway,turning_circle,regular
196657699,highway,traffic_signals,regular
196660243,highway,turning_circle,regular
196661994,highway,traffic_signals,regular
196663710,highway,turning_circle,regular
