id,user,uid,version,changeset,timestamp
5023645,bbauter,156587,2,4279957,2010-03-30T19:35:24Z
5024078,Mundilfari,349543,4,46791625,2017-03-12T18:09:34Z
18987832,bot-mode,451693,2,15805819,2013-04-21T04:12:42Z
18987866,Skybunny,1751737,16,36075054,2015-12-20T22:42:07Z
18987919,DaveHansenTiger,7168,1,469652,2007-12-30T03:03:27Z
18987997,Cerritus,12919,2,13947913,2012-11-20T17:26:29Z
18988069,ItalianMustache,1743198,3,30523333,2015-04-27T02:38:34Z
18988113,DaveHansenTiger,7168,1,469652,2007-12-30T03:04:27Z
18988184,ItalianMustache,1743198,3,33786109,2015-09-04T05:17:31Z
18988238,ItalianMustache,1743198,8,36373687,2016-01-05T05:18:28Z
18988315,ItalianMustache,1743198,6,30644972,2015-04-30T03:26:27Z
18988379,LocalTrailgeek,336222,13,46752507,2017-03-10T23:34:45Z
18988419,ItalianMustache,1743198,2,29481844,2015-03-14T22:15:20Z
18988476,bot-mode,451693,3,14532009,2013-01-04T22:43:17Z
18988525,ridixcr,2508151,10,45147765,2017-01-13T21:21:52Z
18988555,FightingIrish1,1704100,3,18078545,2013-09-28T15:34:24Z
18988592,bot-mode,451693,2,14532009,2013-01-04T22:43:21Z
18988628,ItalianMustache,1743198,16,32816745,2015-07-23T05:07:42Z
18988662,Umbugbene,567034,5,13852480,2012-11-12T21:12:25Z
18988699,ItalianMustache,1743198,7,37475917,2016-02-27T06:42:24Z
18988734,ItalianMustache,1743198,10,40419959,2016-07-01T15:26:23Z
18988778,ItalianMustache,1743198,7,37656382,2016-03-07T00:28:21Z
18988820,ItalianMustache,1743198,8,40217008,2016-06-23T00:27:13Z
18988844,bot-mode,451693,5,14420262,2012-12-27T01:07:46Z
18988875,ItalianMustache,1743198,3,29481844,2015-03-14T22:15:18Z
18988904,bot-mode,451693,2,14532009,2013-01-04T22:43:36Z
18988931,ItalianMustache,1743198,7,33633040,2015-08-27T23:16:26Z
18988969,ItalianMustache,1743198,6,32234254,2015-06-26T22:50:51Z
18989009,ItalianMustache,1743198,4,32402625,2015-07-04T04:43:46Z
18989048,ItalianMustache,1743198,4,33824373,2015-09-06T01:59:16Z
18989082,FightingIrish1,1704100,9,18459945,2013-10-20T21:35:17Z
18989117,bot-mode,451693,3,15805819,2013-04-21T04:13:08Z
18989155,bot-mode,451693,2,15805819,2013-04-21T04:13:10Z
18989191,bot-mode,451693,2,15805819,2013-04-21T04:13:14Z
18989235,Rub21,510836,3,17152963,2013-07-30T13:22:13Z
18989274,bot-mode,451693,2,14532009,2013-01-04T22:43:50Z
18989311,bot-mode,451693,4,14420262,2012-12-27T01:07:59Z
18989396,shuui,1952296,4,49761939,2017-06-23T05:50:42Z
18989478,ItalianMustache,1743198,6,29332801,2015-03-08T15:47:08Z
18989529,ItalianMustache,1743198,4,38064990,2016-03-25T15:25:55Z
18989572,bot-mode,451693,2,15805819,2013-04-21T04:13:22Z
18989609,bot-mode,451693,2,14532009,2013-01-04T22:43:56Z
18989645,FightingIrish1,1704100,4,18773670,2013-11-07T22:41:49Z
18989687,Umbugbene,567034,2,13852480,2012-11-12T22:31:29Z
18989774,Pnrrth,1012362,12,33416498,2015-08-18T14:23:47Z
18989846,bot-mode,451693,3,14420262,2012-12-27T01:08:06Z
18989877,bot-mode,451693,5,15805819,2013-04-21T04:13:30Z
18989917,ItalianMustache,1743198,3,24377046,2014-07-27T02:13:17Z
18989970,maxerickson,360392,3,18639573,2013-10-31T18:11:13Z
18990009,Matthew Mahnke,4335430,17,47887447,2017-04-17T23:20:27Z
18990064,ItalianMustache,1743198,5,33824072,2015-09-06T00:56:00Z
18990089,bot-mode,451693,2,15805819,2013-04-21T04:13:42Z
18990121,ItalianMustache,1743198,6,24414280,2014-07-29T03:42:50Z
