id,key,value,type
5023645,aeroway,taxiway,regular
5023645,ref,S,regular
5024078,aeroway,taxiway,regular
5024078,ref,A1,regular
18987832,highway,residential,regular
18987832,name,Bruss Lane,regular
18987832,cfcc,A41,tiger
18987832,county,"Milwaukee, WI",tiger
18987832,name_base,Bruss,tiger
18987832,name_type,Ln,tiger
18987832,reviewed,no,tiger
18987832,zip_left,53132,tiger
18987866,highway,motorway_link,regular
18987866,oneway,yes,regular
18987866,cfcc,A41,tiger
18987866,county,"Milwaukee, WI",tiger
18987866,reviewed,no,tiger
18987919,access,private,regular
18987919,highway,service,regular
18987919,cfcc,A74,tiger
18987919,county,"Milwaukee, WI",tiger
18987919,reviewed,no,tiger
18987919,source,tiger_import_dch_v0.6_20070830,tiger
18987919,tlid,77735891,tiger
18987919,upload_uuid,bulk_upload.pl-35aad367-a276-4db7-950d-b156d49db3ce,tiger
18987997,access,private,regular
18987997,highway,service,regular
18987997,cfcc,A74,tiger
18987997,county,"Milwaukee, WI",tiger
18987997,reviewed,no,tiger
18987997,source,tiger_import_dch_v0.6_20070830,tiger
18987997,tlid,77759527,tiger
18987997,upload_uuid,bulk_upload.pl-35aad367-a276-4db7-950d-b156d49db3ce,tiger
18988069,highway,service,regular
18988069,cfcc,A41,tiger
18988069,county,"Milwaukee, WI",tiger
18988069,reviewed,no,tiger
18988113,highway,residential,regular
18988113,cfcc,A41,tiger
18988113,county,"Milwaukee, WI",tiger
18988113,reviewed,no,tiger
18988113,separated,no,tiger
18988113,source,tiger_import_dch_v0.6_20070830,tiger
18988113,tlid,77748981,tiger
18988113,upload_uuid,bulk_upload.pl-35aad367-a276-4db7-950d-b156d49db3ce,tiger
18988184,highway,service,regular
18988184,cfcc,A41,tiger
18988184,county,"Milwaukee, WI",tiger
18988184,reviewed,no,tiger
18988238,destination,107th Street; Good Hope Road;Fond du Lac Ave,regular
18988238,highway,motorway_link,regular
18988238,oneway,yes,regular
18988315,highway,residential,regular
18988315,name,North Willow Glen Lane,regular
18988315,oneway,yes,regular
18988315,cfcc,A41,tiger
18988315,county,"Milwaukee, WI",tiger
18988315,name_base,Willow Glen,tiger
18988315,name_direction_prefix,N,tiger
18988315,name_type,Ln,tiger
18988315,reviewed,no,tiger
18988315,zip_left,53209,tiger
18988315,zip_right,53209,tiger
18988379,destination,Brown Deer Road,regular
18988379,highway,primary_link,regular
18988379,oneway,yes,regular
18988419,access,private,regular
18988419,highway,service,regular
18988419,cfcc,A74,tiger
18988419,county,"Milwaukee, WI",tiger
18988419,reviewed,no,tiger
18988476,highway,residential,regular
18988476,name,West Bruce Street,regular
18988476,cfcc,A41,tiger
18988476,county,"Milwaukee, WI",tiger
18988476,name_base,Bruce,tiger
18988476,name_direction_prefix,W,tiger
18988476,name_type,St,tiger
18988476,reviewed,no,tiger
18988476,zip_left,53204,tiger
18988476,zip_right,53204,tiger
18988525,highway,residential,regular
18988525,name,West Virginia Street,regular
18988525,cfcc,A41,tiger
18988525,county,"Milwaukee, WI",tiger
18988525,name_base,West Virginia,tiger
18988525,name_type,St,tiger
18988525,zip_left,53204,tiger
18988525,zip_right,53204,tiger
18988555,highway,residential,regular
18988555,name,West Ruby Avenue,regular
18988555,cfcc,A41,tiger
18988555,county,"Milwaukee, WI",tiger
18988555,name_base,Ruby,tiger
18988555,name_direction_prefix,W,tiger
18988555,name_type,Ave,tiger
18988555,reviewed,no,tiger
18988555,zip_left,53225,tiger
18988555,zip_right,53225,tiger
18988592,highway,residential,regular
18988592,name,West Beacon Hill Place,regular
18988592,cfcc,A41,tiger
18988592,county,"Milwaukee, WI",tiger
18988592,name_base,Beacon Hill,tiger
18988592,name_direction_prefix,W,tiger
18988592,name_type,Pl,tiger
18988592,reviewed,no,tiger
18988592,zip_left,53132,tiger
18988592,zip_right,53132,tiger
18988628,highway,residential,regular
18988628,name,West Main Street,regular
18988628,cfcc,A41,tiger
18988628,county,"Milwaukee, WI",tiger
18988628,name_base,Main,tiger
18988628,name_direction_prefix,W,tiger
18988628,name_type,St,tiger
18988628,reviewed,no,tiger
18988628,zip_left,53214,tiger
18988628,zip_right,53214,tiger
18988662,highway,residential,regular
18988662,name,West Burnham Street,regular
18988662,cfcc,A41,tiger
18988662,county,"Milwaukee, WI",tiger
18988662,name_base,Burnham,tiger
18988662,name_direction_prefix,W,tiger
18988662,name_type,St,tiger
18988662,reviewed,no,tiger
18988662,separated,no,tiger
18988662,source,tiger_import_dch_v0.6_20070830,tiger
18988662,tlid,77733388:77733391,tiger
18988662,upload_uuid,bulk_upload.pl-35aad367-a276-4db7-950d-b156d49db3ce,tiger
18988699,highway,residential,regular
18988699,name,South Kurtz Road,regular
18988699,cfcc,A41,tiger
18988699,county,"Milwaukee, WI",tiger
18988699,name_base,Kurtz,tiger
18988699,name_direction_prefix,S,tiger
18988699,name_type,Rd,tiger
18988699,reviewed,no,tiger
18988699,zip_left,53130,tiger
18988699,zip_right,53130,tiger
18988734,highway,residential,regular
18988734,maxspeed,25 mph,regular
18988734,name,North Bay Ridge Avenue,regular
18988734,cfcc,A41,tiger
18988734,county,"Milwaukee, WI",tiger
18988734,name_base,Bay Ridge,tiger
18988734,name_direction_prefix,N,tiger
18988734,name_type,Ave,tiger
18988734,reviewed,no,tiger
18988734,zip_left,53217,tiger
18988734,zip_right,53217,tiger
18988778,highway,primary_link,regular
18988778,oneway,yes,regular
18988778,ref,WI 32,regular
18988778,county,"Milwaukee, WI",tiger
18988778,name_base,1st,tiger
18988778,name_base_1,State Highway 32,tiger
18988778,name_direction_prefix,S,tiger
18988778,name_type,St,tiger
18988778,reviewed,no,tiger
18988820,highway,residential,regular
18988820,name,North Robertson Avenue,regular
18988820,cfcc,A41,tiger
18988820,county,"Milwaukee, WI",tiger
18988820,name_base,Robertson,tiger
18988820,name_direction_prefix,N,tiger
18988820,name_type,Ave,tiger
18988820,reviewed,no,tiger
18988820,zip_left,53213,tiger
18988820,zip_right,53213,tiger
18988844,highway,residential,regular
18988844,name,North King Road,regular
18988844,cfcc,A41,tiger
18988844,county,"Milwaukee, WI",tiger
18988844,name_base,King,tiger
18988844,name_direction_prefix,N,tiger
18988844,name_type,Rd,tiger
18988844,reviewed,no,tiger
18988844,zip_left,53217,tiger
18988844,zip_right,53217,tiger
18988875,highway,residential,regular
18988875,name,West Alvina Court,regular
18988875,cfcc,A41,tiger
18988875,county,"Milwaukee, WI",tiger
18988875,name_base,Alvina,tiger
18988875,name_direction_prefix,W,tiger
18988875,name_type,Ct,tiger
18988875,reviewed,no,tiger
18988875,zip_left,53221,tiger
18988875,zip_right,53221,tiger
18988904,highway,residential,regular
18988904,name,West Clarendon Place,regular
18988904,cfcc,A41,tiger
18988904,county,"Milwaukee, WI",tiger
18988904,name_base,Clarendon,tiger
18988904,name_direction_prefix,W,tiger
18988904,name_type,Pl,tiger
18988904,reviewed,no,tiger
18988904,zip_left,53208,tiger
18988904,zip_right,53208,tiger
18988931,highway,residential,regular
18988931,name,North 42nd Street,regular
18988931,cfcc,A41,tiger
18988931,county,"Milwaukee, WI",tiger
18988931,name_base,42nd,tiger
18988931,name_direction_prefix,N,tiger
18988931,name_type,St,tiger
18988931,reviewed,no,tiger
18988931,zip_left,53216,tiger
18988931,zip_right,53216,tiger
18988969,highway,residential,regular
18988969,name,North Redwood Court,regular
18988969,cfcc,A41,tiger
18988969,county,"Milwaukee, WI",tiger
18988969,name_base,Redwood,tiger
18988969,name_direction_prefix,N,tiger
18988969,name_type,Ct,tiger
18988969,zip_left,53209,tiger
18989009,highway,residential,regular
18989009,name,West Beaver Creek Parkway,regular
18989009,cfcc,A41,tiger
18989009,county,"Milwaukee, WI",tiger
18989009,name_base,Beaver Creek,tiger
